xname yname prname i.fold nfolds nrepeats i.fold.inn nfolds.inn nrepeats.inn
5453 eff.and.other.genes.vals surv.grps predictorLinearSVM 1 5 10 1 5 1
5454 path.and.other.genes.vals surv.grps predictorLinearSVM 1 5 10 1 5 1
5455 eff.vals surv.grps predictorLogitLasso 1 5 10 1 5 1
5456 fun.vals surv.grps predictorLogitLasso 1 5 10 1 5 1
5457 genes.vals surv.grps predictorLogitLasso 1 5 10 1 5 1
5458 go.vals surv.grps predictorLogitLasso 1 5 10 1 5 1
5459 path.genes.vals surv.grps predictorLogitLasso 1 5 10 1 5 1
5460 other.genes.vals surv.grps predictorLogitLasso 1 5 10 1 5 1
5461 path.vals surv.grps predictorLogitLasso 1 5 10 1 5 1
5462 eff.and.other.genes.vals surv.grps predictorLogitLasso 1 5 10 1 5 1
5463 path.and.other.genes.vals surv.grps predictorLogitLasso 1 5 10 1 5 1
5464 eff.vals surv.grps predictorNB 1 5 10 1 5 1
5465 fun.vals surv.grps predictorNB 1 5 10 1 5 1
5466 genes.vals surv.grps predictorNB 1 5 10 1 5 1
5467 go.vals surv.grps predictorNB 1 5 10 1 5 1
5468 path.genes.vals surv.grps predictorNB 1 5 10 1 5 1
5469 other.genes.vals surv.grps predictorNB 1 5 10 1 5 1
5470 path.vals surv.grps predictorNB 1 5 10 1 5 1
5471 eff.and.other.genes.vals surv.grps predictorNB 1 5 10 1 5 1
5472 path.and.other.genes.vals surv.grps predictorNB 1 5 10 1 5 1
5473 eff.vals surv.grps predictorPAM 1 5 10 1 5 1
5474 fun.vals surv.grps predictorPAM 1 5 10 1 5 1
5475 genes.vals surv.grps predictorPAM 1 5 10 1 5 1
5476 go.vals surv.grps predictorPAM 1 5 10 1 5 1
5477 path.genes.vals surv.grps predictorPAM 1 5 10 1 5 1
5478 other.genes.vals surv.grps predictorPAM 1 5 10 1 5 1
5479 path.vals surv.grps predictorPAM 1 5 10 1 5 1
5480 eff.and.other.genes.vals surv.grps predictorPAM 1 5 10 1 5 1
5481 path.and.other.genes.vals surv.grps predictorPAM 1 5 10 1 5 1
5482 eff.vals surv.grps predictorRadialSVM 1 5 10 1 5 1
5483 fun.vals surv.grps predictorRadialSVM 1 5 10 1 5 1
5484 genes.vals surv.grps predictorRadialSVM 1 5 10 1 5 1
5485 go.vals surv.grps predictorRadialSVM 1 5 10 1 5 1
5486 path.genes.vals surv.grps predictorRadialSVM 1 5 10 1 5 1
5487 other.genes.vals surv.grps predictorRadialSVM 1 5 10 1 5 1
5488 path.vals surv.grps predictorRadialSVM 1 5 10 1 5 1
5489 eff.and.other.genes.vals surv.grps predictorRadialSVM 1 5 10 1 5 1
5490 path.and.other.genes.vals surv.grps predictorRadialSVM 1 5 10 1 5 1
5491 eff.vals surv.grps predictorRF 1 5 10 1 5 1
5492 fun.vals surv.grps predictorRF 1 5 10 1 5 1
5493 genes.vals surv.grps predictorRF 1 5 10 1 5 1
5494 go.vals surv.grps predictorRF 1 5 10 1 5 1
5495 path.genes.vals surv.grps predictorRF 1 5 10 1 5 1
5496 other.genes.vals surv.grps predictorRF 1 5 10 1 5 1
5497 path.vals surv.grps predictorRF 1 5 10 1 5 1
5498 eff.and.other.genes.vals surv.grps predictorRF 1 5 10 1 5 1
5499 path.and.other.genes.vals surv.grps predictorRF 1 5 10 1 5 1
5500 eff.vals surv.grps predictorSparseSVM 1 5 10 1 5 1
5501 fun.vals surv.grps predictorSparseSVM 1 5 10 1 5 1
5502 genes.vals surv.grps predictorSparseSVM 1 5 10 1 5 1
5503 go.vals surv.grps predictorSparseSVM 1 5 10 1 5 1
5504 path.genes.vals surv.grps predictorSparseSVM 1 5 10 1 5 1
5505 other.genes.vals surv.grps predictorSparseSVM 1 5 10 1 5 1
5506 path.vals surv.grps predictorSparseSVM 1 5 10 1 5 1
5507 eff.and.other.genes.vals surv.grps predictorSparseSVM 1 5 10 1 5 1
5508 path.and.other.genes.vals surv.grps predictorSparseSVM 1 5 10 1 5 1
5509 eff.vals surv.grps predictorConstant 2 5 10 1 5 1
5510 fun.vals surv.grps predictorConstant 2 5 10 1 5 1
5511 genes.vals surv.grps predictorConstant 2 5 10 1 5 1
5512 go.vals surv.grps predictorConstant 2 5 10 1 5 1
5513 path.genes.vals surv.grps predictorConstant 2 5 10 1 5 1
5514 other.genes.vals surv.grps predictorConstant 2 5 10 1 5 1
5515 path.vals surv.grps predictorConstant 2 5 10 1 5 1
5516 eff.and.other.genes.vals surv.grps predictorConstant 2 5 10 1 5 1
5517 path.and.other.genes.vals surv.grps predictorConstant 2 5 10 1 5 1
5518 eff.vals surv.grps predictorGBM 2 5 10 1 5 1
5519 fun.vals surv.grps predictorGBM 2 5 10 1 5 1
5520 genes.vals surv.grps predictorGBM 2 5 10 1 5 1
5521 go.vals surv.grps predictorGBM 2 5 10 1 5 1
5522 path.genes.vals surv.grps predictorGBM 2 5 10 1 5 1
5523 other.genes.vals surv.grps predictorGBM 2 5 10 1 5 1
5524 path.vals surv.grps predictorGBM 2 5 10 1 5 1
5525 eff.and.other.genes.vals surv.grps predictorGBM 2 5 10 1 5 1
5526 path.and.other.genes.vals surv.grps predictorGBM 2 5 10 1 5 1
5527 eff.vals surv.grps predictorKendallSVM 2 5 10 1 5 1
5528 fun.vals surv.grps predictorKendallSVM 2 5 10 1 5 1
5529 genes.vals surv.grps predictorKendallSVM 2 5 10 1 5 1
5530 go.vals surv.grps predictorKendallSVM 2 5 10 1 5 1
5531 path.genes.vals surv.grps predictorKendallSVM 2 5 10 1 5 1
5532 other.genes.vals surv.grps predictorKendallSVM 2 5 10 1 5 1
5533 path.vals surv.grps predictorKendallSVM 2 5 10 1 5 1
5534 eff.and.other.genes.vals surv.grps predictorKendallSVM 2 5 10 1 5 1
5535 path.and.other.genes.vals surv.grps predictorKendallSVM 2 5 10 1 5 1
5536 eff.vals surv.grps predictorKNN 2 5 10 1 5 1
5537 fun.vals surv.grps predictorKNN 2 5 10 1 5 1
5538 genes.vals surv.grps predictorKNN 2 5 10 1 5 1
5539 go.vals surv.grps predictorKNN 2 5 10 1 5 1
5540 path.genes.vals surv.grps predictorKNN 2 5 10 1 5 1
5541 other.genes.vals surv.grps predictorKNN 2 5 10 1 5 1
5542 path.vals surv.grps predictorKNN 2 5 10 1 5 1
5543 eff.and.other.genes.vals surv.grps predictorKNN 2 5 10 1 5 1
5544 path.and.other.genes.vals surv.grps predictorKNN 2 5 10 1 5 1
5545 eff.vals surv.grps predictorLDA 2 5 10 1 5 1
5546 fun.vals surv.grps predictorLDA 2 5 10 1 5 1
5547 genes.vals surv.grps predictorLDA 2 5 10 1 5 1
5548 go.vals surv.grps predictorLDA 2 5 10 1 5 1
5549 path.genes.vals surv.grps predictorLDA 2 5 10 1 5 1
5550 other.genes.vals surv.grps predictorLDA 2 5 10 1 5 1
5551 path.vals surv.grps predictorLDA 2 5 10 1 5 1
5552 eff.and.other.genes.vals surv.grps predictorLDA 2 5 10 1 5 1
5553 path.and.other.genes.vals surv.grps predictorLDA 2 5 10 1 5 1
5554 eff.vals surv.grps predictorLinearSVM 2 5 10 1 5 1
5555 fun.vals surv.grps predictorLinearSVM 2 5 10 1 5 1
5556 genes.vals surv.grps predictorLinearSVM 2 5 10 1 5 1
5557 go.vals surv.grps predictorLinearSVM 2 5 10 1 5 1
5558 path.genes.vals surv.grps predictorLinearSVM 2 5 10 1 5 1
5559 other.genes.vals surv.grps predictorLinearSVM 2 5 10 1 5 1
5560 path.vals surv.grps predictorLinearSVM 2 5 10 1 5 1
5561 eff.and.other.genes.vals surv.grps predictorLinearSVM 2 5 10 1 5 1
5562 path.and.other.genes.vals surv.grps predictorLinearSVM 2 5 10 1 5 1
5563 eff.vals surv.grps predictorLogitLasso 2 5 10 1 5 1
5564 fun.vals surv.grps predictorLogitLasso 2 5 10 1 5 1
5565 genes.vals surv.grps predictorLogitLasso 2 5 10 1 5 1
5566 go.vals surv.grps predictorLogitLasso 2 5 10 1 5 1
5567 path.genes.vals surv.grps predictorLogitLasso 2 5 10 1 5 1
5568 other.genes.vals surv.grps predictorLogitLasso 2 5 10 1 5 1
5569 path.vals surv.grps predictorLogitLasso 2 5 10 1 5 1
5570 eff.and.other.genes.vals surv.grps predictorLogitLasso 2 5 10 1 5 1
5571 path.and.other.genes.vals surv.grps predictorLogitLasso 2 5 10 1 5 1
5572 eff.vals surv.grps predictorNB 2 5 10 1 5 1
5573 fun.vals surv.grps predictorNB 2 5 10 1 5 1
5574 genes.vals surv.grps predictorNB 2 5 10 1 5 1
5575 go.vals surv.grps predictorNB 2 5 10 1 5 1
5576 path.genes.vals surv.grps predictorNB 2 5 10 1 5 1
5577 other.genes.vals surv.grps predictorNB 2 5 10 1 5 1
5578 path.vals surv.grps predictorNB 2 5 10 1 5 1
5579 eff.and.other.genes.vals surv.grps predictorNB 2 5 10 1 5 1
5580 path.and.other.genes.vals surv.grps predictorNB 2 5 10 1 5 1
5581 eff.vals surv.grps predictorPAM 2 5 10 1 5 1
5582 fun.vals surv.grps predictorPAM 2 5 10 1 5 1
5583 genes.vals surv.grps predictorPAM 2 5 10 1 5 1
5584 go.vals surv.grps predictorPAM 2 5 10 1 5 1
5585 path.genes.vals surv.grps predictorPAM 2 5 10 1 5 1
5586 other.genes.vals surv.grps predictorPAM 2 5 10 1 5 1
5587 path.vals surv.grps predictorPAM 2 5 10 1 5 1
5588 eff.and.other.genes.vals surv.grps predictorPAM 2 5 10 1 5 1
5589 path.and.other.genes.vals surv.grps predictorPAM 2 5 10 1 5 1
5590 eff.vals surv.grps predictorRadialSVM 2 5 10 1 5 1
5591 fun.vals surv.grps predictorRadialSVM 2 5 10 1 5 1
5592 genes.vals surv.grps predictorRadialSVM 2 5 10 1 5 1
5593 go.vals surv.grps predictorRadialSVM 2 5 10 1 5 1
5594 path.genes.vals surv.grps predictorRadialSVM 2 5 10 1 5 1
5595 other.genes.vals surv.grps predictorRadialSVM 2 5 10 1 5 1
5596 path.vals surv.grps predictorRadialSVM 2 5 10 1 5 1
5597 eff.and.other.genes.vals surv.grps predictorRadialSVM 2 5 10 1 5 1
5598 path.and.other.genes.vals surv.grps predictorRadialSVM 2 5 10 1 5 1
5599 eff.vals surv.grps predictorRF 2 5 10 1 5 1
5600 fun.vals surv.grps predictorRF 2 5 10 1 5 1
5601 genes.vals surv.grps predictorRF 2 5 10 1 5 1
5602 go.vals surv.grps predictorRF 2 5 10 1 5 1
5603 path.genes.vals surv.grps predictorRF 2 5 10 1 5 1
5604 other.genes.vals surv.grps predictorRF 2 5 10 1 5 1
5605 path.vals surv.grps predictorRF 2 5 10 1 5 1
5606 eff.and.other.genes.vals surv.grps predictorRF 2 5 10 1 5 1
5607 path.and.other.genes.vals surv.grps predictorRF 2 5 10 1 5 1
5608 eff.vals surv.grps predictorSparseSVM 2 5 10 1 5 1
5609 fun.vals surv.grps predictorSparseSVM 2 5 10 1 5 1
5610 genes.vals surv.grps predictorSparseSVM 2 5 10 1 5 1
5611 go.vals surv.grps predictorSparseSVM 2 5 10 1 5 1
5612 path.genes.vals surv.grps predictorSparseSVM 2 5 10 1 5 1
5613 other.genes.vals surv.grps predictorSparseSVM 2 5 10 1 5 1
5614 path.vals surv.grps predictorSparseSVM 2 5 10 1 5 1
5615 eff.and.other.genes.vals surv.grps predictorSparseSVM 2 5 10 1 5 1
5616 path.and.other.genes.vals surv.grps predictorSparseSVM 2 5 10 1 5 1
5617 eff.vals surv.grps predictorConstant 3 5 10 1 5 1
5618 fun.vals surv.grps predictorConstant 3 5 10 1 5 1
5619 genes.vals surv.grps predictorConstant 3 5 10 1 5 1
5620 go.vals surv.grps predictorConstant 3 5 10 1 5 1
5621 path.genes.vals surv.grps predictorConstant 3 5 10 1 5 1
5622 other.genes.vals surv.grps predictorConstant 3 5 10 1 5 1
5623 path.vals surv.grps predictorConstant 3 5 10 1 5 1
5624 eff.and.other.genes.vals surv.grps predictorConstant 3 5 10 1 5 1
5625 path.and.other.genes.vals surv.grps predictorConstant 3 5 10 1 5 1
5626 eff.vals surv.grps predictorGBM 3 5 10 1 5 1
5627 fun.vals surv.grps predictorGBM 3 5 10 1 5 1
5628 genes.vals surv.grps predictorGBM 3 5 10 1 5 1
5629 go.vals surv.grps predictorGBM 3 5 10 1 5 1
5630 path.genes.vals surv.grps predictorGBM 3 5 10 1 5 1
5631 other.genes.vals surv.grps predictorGBM 3 5 10 1 5 1
5632 path.vals surv.grps predictorGBM 3 5 10 1 5 1
5633 eff.and.other.genes.vals surv.grps predictorGBM 3 5 10 1 5 1
5634 path.and.other.genes.vals surv.grps predictorGBM 3 5 10 1 5 1
5635 eff.vals surv.grps predictorKendallSVM 3 5 10 1 5 1
5636 fun.vals surv.grps predictorKendallSVM 3 5 10 1 5 1
5637 genes.vals surv.grps predictorKendallSVM 3 5 10 1 5 1
5638 go.vals surv.grps predictorKendallSVM 3 5 10 1 5 1
5639 path.genes.vals surv.grps predictorKendallSVM 3 5 10 1 5 1
5640 other.genes.vals surv.grps predictorKendallSVM 3 5 10 1 5 1
5641 path.vals surv.grps predictorKendallSVM 3 5 10 1 5 1
5642 eff.and.other.genes.vals surv.grps predictorKendallSVM 3 5 10 1 5 1
5643 path.and.other.genes.vals surv.grps predictorKendallSVM 3 5 10 1 5 1
5644 eff.vals surv.grps predictorKNN 3 5 10 1 5 1
5645 fun.vals surv.grps predictorKNN 3 5 10 1 5 1
5646 genes.vals surv.grps predictorKNN 3 5 10 1 5 1
5647 go.vals surv.grps predictorKNN 3 5 10 1 5 1
5648 path.genes.vals surv.grps predictorKNN 3 5 10 1 5 1
5649 other.genes.vals surv.grps predictorKNN 3 5 10 1 5 1
5650 path.vals surv.grps predictorKNN 3 5 10 1 5 1
5651 eff.and.other.genes.vals surv.grps predictorKNN 3 5 10 1 5 1
5652 path.and.other.genes.vals surv.grps predictorKNN 3 5 10 1 5 1
5653 eff.vals surv.grps predictorLDA 3 5 10 1 5 1
5654 fun.vals surv.grps predictorLDA 3 5 10 1 5 1
5655 genes.vals surv.grps predictorLDA 3 5 10 1 5 1
5656 go.vals surv.grps predictorLDA 3 5 10 1 5 1
5657 path.genes.vals surv.grps predictorLDA 3 5 10 1 5 1
5658 other.genes.vals surv.grps predictorLDA 3 5 10 1 5 1
5659 path.vals surv.grps predictorLDA 3 5 10 1 5 1
5660 eff.and.other.genes.vals surv.grps predictorLDA 3 5 10 1 5 1
5661 path.and.other.genes.vals surv.grps predictorLDA 3 5 10 1 5 1
5662 eff.vals surv.grps predictorLinearSVM 3 5 10 1 5 1
5663 fun.vals surv.grps predictorLinearSVM 3 5 10 1 5 1
5664 genes.vals surv.grps predictorLinearSVM 3 5 10 1 5 1
5665 go.vals surv.grps predictorLinearSVM 3 5 10 1 5 1
5666 path.genes.vals surv.grps predictorLinearSVM 3 5 10 1 5 1
5667 other.genes.vals surv.grps predictorLinearSVM 3 5 10 1 5 1
5668 path.vals surv.grps predictorLinearSVM 3 5 10 1 5 1
5669 eff.and.other.genes.vals surv.grps predictorLinearSVM 3 5 10 1 5 1
5670 path.and.other.genes.vals surv.grps predictorLinearSVM 3 5 10 1 5 1
5671 eff.vals surv.grps predictorLogitLasso 3 5 10 1 5 1
5672 fun.vals surv.grps predictorLogitLasso 3 5 10 1 5 1
5673 genes.vals surv.grps predictorLogitLasso 3 5 10 1 5 1
5674 go.vals surv.grps predictorLogitLasso 3 5 10 1 5 1
5675 path.genes.vals surv.grps predictorLogitLasso 3 5 10 1 5 1
5676 other.genes.vals surv.grps predictorLogitLasso 3 5 10 1 5 1
5677 path.vals surv.grps predictorLogitLasso 3 5 10 1 5 1
5678 eff.and.other.genes.vals surv.grps predictorLogitLasso 3 5 10 1 5 1
5679 path.and.other.genes.vals surv.grps predictorLogitLasso 3 5 10 1 5 1
5680 eff.vals surv.grps predictorNB 3 5 10 1 5 1
5681 fun.vals surv.grps predictorNB 3 5 10 1 5 1
5682 genes.vals surv.grps predictorNB 3 5 10 1 5 1
5683 go.vals surv.grps predictorNB 3 5 10 1 5 1
5684 path.genes.vals surv.grps predictorNB 3 5 10 1 5 1
5685 other.genes.vals surv.grps predictorNB 3 5 10 1 5 1
5686 path.vals surv.grps predictorNB 3 5 10 1 5 1
5687 eff.and.other.genes.vals surv.grps predictorNB 3 5 10 1 5 1
5688 path.and.other.genes.vals surv.grps predictorNB 3 5 10 1 5 1
5689 eff.vals surv.grps predictorPAM 3 5 10 1 5 1
5690 fun.vals surv.grps predictorPAM 3 5 10 1 5 1
5691 genes.vals surv.grps predictorPAM 3 5 10 1 5 1
5692 go.vals surv.grps predictorPAM 3 5 10 1 5 1
5693 path.genes.vals surv.grps predictorPAM 3 5 10 1 5 1
5694 other.genes.vals surv.grps predictorPAM 3 5 10 1 5 1
5695 path.vals surv.grps predictorPAM 3 5 10 1 5 1
5696 eff.and.other.genes.vals surv.grps predictorPAM 3 5 10 1 5 1
5697 path.and.other.genes.vals surv.grps predictorPAM 3 5 10 1 5 1
5698 eff.vals surv.grps predictorRadialSVM 3 5 10 1 5 1
5699 fun.vals surv.grps predictorRadialSVM 3 5 10 1 5 1
5700 genes.vals surv.grps predictorRadialSVM 3 5 10 1 5 1
5701 go.vals surv.grps predictorRadialSVM 3 5 10 1 5 1
5702 path.genes.vals surv.grps predictorRadialSVM 3 5 10 1 5 1
5703 other.genes.vals surv.grps predictorRadialSVM 3 5 10 1 5 1
5704 path.vals surv.grps predictorRadialSVM 3 5 10 1 5 1
5705 eff.and.other.genes.vals surv.grps predictorRadialSVM 3 5 10 1 5 1
5706 path.and.other.genes.vals surv.grps predictorRadialSVM 3 5 10 1 5 1
5707 eff.vals surv.grps predictorRF 3 5 10 1 5 1
5708 fun.vals surv.grps predictorRF 3 5 10 1 5 1
5709 genes.vals surv.grps predictorRF 3 5 10 1 5 1
5710 go.vals surv.grps predictorRF 3 5 10 1 5 1
5711 path.genes.vals surv.grps predictorRF 3 5 10 1 5 1
5712 other.genes.vals surv.grps predictorRF 3 5 10 1 5 1
5713 path.vals surv.grps predictorRF 3 5 10 1 5 1
5714 eff.and.other.genes.vals surv.grps predictorRF 3 5 10 1 5 1
5715 path.and.other.genes.vals surv.grps predictorRF 3 5 10 1 5 1
5716 eff.vals surv.grps predictorSparseSVM 3 5 10 1 5 1
5717 fun.vals surv.grps predictorSparseSVM 3 5 10 1 5 1
5718 genes.vals surv.grps predictorSparseSVM 3 5 10 1 5 1
5719 go.vals surv.grps predictorSparseSVM 3 5 10 1 5 1
5720 path.genes.vals surv.grps predictorSparseSVM 3 5 10 1 5 1
5721 other.genes.vals surv.grps predictorSparseSVM 3 5 10 1 5 1
5722 path.vals surv.grps predictorSparseSVM 3 5 10 1 5 1
5723 eff.and.other.genes.vals surv.grps predictorSparseSVM 3 5 10 1 5 1
5724 path.and.other.genes.vals surv.grps predictorSparseSVM 3 5 10 1 5 1
5725 eff.vals surv.grps predictorConstant 4 5 10 1 5 1
5726 fun.vals surv.grps predictorConstant 4 5 10 1 5 1
5727 genes.vals surv.grps predictorConstant 4 5 10 1 5 1
5728 go.vals surv.grps predictorConstant 4 5 10 1 5 1
5729 path.genes.vals surv.grps predictorConstant 4 5 10 1 5 1
5730 other.genes.vals surv.grps predictorConstant 4 5 10 1 5 1
5731 path.vals surv.grps predictorConstant 4 5 10 1 5 1
5732 eff.and.other.genes.vals surv.grps predictorConstant 4 5 10 1 5 1
5733 path.and.other.genes.vals surv.grps predictorConstant 4 5 10 1 5 1
5734 eff.vals surv.grps predictorGBM 4 5 10 1 5 1
5735 fun.vals surv.grps predictorGBM 4 5 10 1 5 1
5736 genes.vals surv.grps predictorGBM 4 5 10 1 5 1
5737 go.vals surv.grps predictorGBM 4 5 10 1 5 1
5738 path.genes.vals surv.grps predictorGBM 4 5 10 1 5 1
5739 other.genes.vals surv.grps predictorGBM 4 5 10 1 5 1
5740 path.vals surv.grps predictorGBM 4 5 10 1 5 1
5741 eff.and.other.genes.vals surv.grps predictorGBM 4 5 10 1 5 1
5742 path.and.other.genes.vals surv.grps predictorGBM 4 5 10 1 5 1
5743 eff.vals surv.grps predictorKendallSVM 4 5 10 1 5 1
5744 fun.vals surv.grps predictorKendallSVM 4 5 10 1 5 1
5745 genes.vals surv.grps predictorKendallSVM 4 5 10 1 5 1
5746 go.vals surv.grps predictorKendallSVM 4 5 10 1 5 1
5747 path.genes.vals surv.grps predictorKendallSVM 4 5 10 1 5 1
5748 other.genes.vals surv.grps predictorKendallSVM 4 5 10 1 5 1
5749 path.vals surv.grps predictorKendallSVM 4 5 10 1 5 1
5750 eff.and.other.genes.vals surv.grps predictorKendallSVM 4 5 10 1 5 1
5751 path.and.other.genes.vals surv.grps predictorKendallSVM 4 5 10 1 5 1
5752 eff.vals surv.grps predictorKNN 4 5 10 1 5 1
5753 fun.vals surv.grps predictorKNN 4 5 10 1 5 1
5754 genes.vals surv.grps predictorKNN 4 5 10 1 5 1
5755 go.vals surv.grps predictorKNN 4 5 10 1 5 1
5756 path.genes.vals surv.grps predictorKNN 4 5 10 1 5 1
5757 other.genes.vals surv.grps predictorKNN 4 5 10 1 5 1
5758 path.vals surv.grps predictorKNN 4 5 10 1 5 1
5759 eff.and.other.genes.vals surv.grps predictorKNN 4 5 10 1 5 1
5760 path.and.other.genes.vals surv.grps predictorKNN 4 5 10 1 5 1
5761 eff.vals surv.grps predictorLDA 4 5 10 1 5 1
5762 fun.vals surv.grps predictorLDA 4 5 10 1 5 1
5763 genes.vals surv.grps predictorLDA 4 5 10 1 5 1
5764 go.vals surv.grps predictorLDA 4 5 10 1 5 1
5765 path.genes.vals surv.grps predictorLDA 4 5 10 1 5 1
5766 other.genes.vals surv.grps predictorLDA 4 5 10 1 5 1
5767 path.vals surv.grps predictorLDA 4 5 10 1 5 1
5768 eff.and.other.genes.vals surv.grps predictorLDA 4 5 10 1 5 1
5769 path.and.other.genes.vals surv.grps predictorLDA 4 5 10 1 5 1
5770 eff.vals surv.grps predictorLinearSVM 4 5 10 1 5 1
5771 fun.vals surv.grps predictorLinearSVM 4 5 10 1 5 1
5772 genes.vals surv.grps predictorLinearSVM 4 5 10 1 5 1
5773 go.vals surv.grps predictorLinearSVM 4 5 10 1 5 1
5774 path.genes.vals surv.grps predictorLinearSVM 4 5 10 1 5 1
5775 other.genes.vals surv.grps predictorLinearSVM 4 5 10 1 5 1
5776 path.vals surv.grps predictorLinearSVM 4 5 10 1 5 1
5777 eff.and.other.genes.vals surv.grps predictorLinearSVM 4 5 10 1 5 1
5778 path.and.other.genes.vals surv.grps predictorLinearSVM 4 5 10 1 5 1
5779 eff.vals surv.grps predictorLogitLasso 4 5 10 1 5 1
5780 fun.vals surv.grps predictorLogitLasso 4 5 10 1 5 1
5781 genes.vals surv.grps predictorLogitLasso 4 5 10 1 5 1
5782 go.vals surv.grps predictorLogitLasso 4 5 10 1 5 1
5783 path.genes.vals surv.grps predictorLogitLasso 4 5 10 1 5 1
5784 other.genes.vals surv.grps predictorLogitLasso 4 5 10 1 5 1
5785 path.vals surv.grps predictorLogitLasso 4 5 10 1 5 1
5786 eff.and.other.genes.vals surv.grps predictorLogitLasso 4 5 10 1 5 1
5787 path.and.other.genes.vals surv.grps predictorLogitLasso 4 5 10 1 5 1
5788 eff.vals surv.grps predictorNB 4 5 10 1 5 1
5789 fun.vals surv.grps predictorNB 4 5 10 1 5 1
5790 genes.vals surv.grps predictorNB 4 5 10 1 5 1
5791 go.vals surv.grps predictorNB 4 5 10 1 5 1
5792 path.genes.vals surv.grps predictorNB 4 5 10 1 5 1
5793 other.genes.vals surv.grps predictorNB 4 5 10 1 5 1
5794 path.vals surv.grps predictorNB 4 5 10 1 5 1
5795 eff.and.other.genes.vals surv.grps predictorNB 4 5 10 1 5 1
5796 path.and.other.genes.vals surv.grps predictorNB 4 5 10 1 5 1
5797 eff.vals surv.grps predictorPAM 4 5 10 1 5 1
5798 fun.vals surv.grps predictorPAM 4 5 10 1 5 1
5799 genes.vals surv.grps predictorPAM 4 5 10 1 5 1
5800 go.vals surv.grps predictorPAM 4 5 10 1 5 1
5801 path.genes.vals surv.grps predictorPAM 4 5 10 1 5 1
5802 other.genes.vals surv.grps predictorPAM 4 5 10 1 5 1
5803 path.vals surv.grps predictorPAM 4 5 10 1 5 1
5804 eff.and.other.genes.vals surv.grps predictorPAM 4 5 10 1 5 1
5805 path.and.other.genes.vals surv.grps predictorPAM 4 5 10 1 5 1
5806 eff.vals surv.grps predictorRadialSVM 4 5 10 1 5 1
5807 fun.vals surv.grps predictorRadialSVM 4 5 10 1 5 1
5808 genes.vals surv.grps predictorRadialSVM 4 5 10 1 5 1
5809 go.vals surv.grps predictorRadialSVM 4 5 10 1 5 1
5810 path.genes.vals surv.grps predictorRadialSVM 4 5 10 1 5 1
5811 other.genes.vals surv.grps predictorRadialSVM 4 5 10 1 5 1
5812 path.vals surv.grps predictorRadialSVM 4 5 10 1 5 1
5813 eff.and.other.genes.vals surv.grps predictorRadialSVM 4 5 10 1 5 1
5814 path.and.other.genes.vals surv.grps predictorRadialSVM 4 5 10 1 5 1
5815 eff.vals surv.grps predictorRF 4 5 10 1 5 1
5816 fun.vals surv.grps predictorRF 4 5 10 1 5 1
5817 genes.vals surv.grps predictorRF 4 5 10 1 5 1
5818 go.vals surv.grps predictorRF 4 5 10 1 5 1
5819 path.genes.vals surv.grps predictorRF 4 5 10 1 5 1
5820 other.genes.vals surv.grps predictorRF 4 5 10 1 5 1
5821 path.vals surv.grps predictorRF 4 5 10 1 5 1
5822 eff.and.other.genes.vals surv.grps predictorRF 4 5 10 1 5 1
5823 path.and.other.genes.vals surv.grps predictorRF 4 5 10 1 5 1
5824 eff.vals surv.grps predictorSparseSVM 4 5 10 1 5 1
5825 fun.vals surv.grps predictorSparseSVM 4 5 10 1 5 1
5826 genes.vals surv.grps predictorSparseSVM 4 5 10 1 5 1
5827 go.vals surv.grps predictorSparseSVM 4 5 10 1 5 1
5828 path.genes.vals surv.grps predictorSparseSVM 4 5 10 1 5 1
5829 other.genes.vals surv.grps predictorSparseSVM 4 5 10 1 5 1
5830 path.vals surv.grps predictorSparseSVM 4 5 10 1 5 1
5831 eff.and.other.genes.vals surv.grps predictorSparseSVM 4 5 10 1 5 1
5832 path.and.other.genes.vals surv.grps predictorSparseSVM 4 5 10 1 5 1
5833 eff.vals surv.grps predictorConstant 5 5 10 1 5 1
5834 fun.vals surv.grps predictorConstant 5 5 10 1 5 1
5835 genes.vals surv.grps predictorConstant 5 5 10 1 5 1
5836 go.vals surv.grps predictorConstant 5 5 10 1 5 1
5837 path.genes.vals surv.grps predictorConstant 5 5 10 1 5 1
5838 other.genes.vals surv.grps predictorConstant 5 5 10 1 5 1
5839 path.vals surv.grps predictorConstant 5 5 10 1 5 1
5840 eff.and.other.genes.vals surv.grps predictorConstant 5 5 10 1 5 1
5841 path.and.other.genes.vals surv.grps predictorConstant 5 5 10 1 5 1
5842 eff.vals surv.grps predictorGBM 5 5 10 1 5 1
5843 fun.vals surv.grps predictorGBM 5 5 10 1 5 1
5844 genes.vals surv.grps predictorGBM 5 5 10 1 5 1
5845 go.vals surv.grps predictorGBM 5 5 10 1 5 1
5846 path.genes.vals surv.grps predictorGBM 5 5 10 1 5 1
5847 other.genes.vals surv.grps predictorGBM 5 5 10 1 5 1
5848 path.vals surv.grps predictorGBM 5 5 10 1 5 1
5849 eff.and.other.genes.vals surv.grps predictorGBM 5 5 10 1 5 1
5850 path.and.other.genes.vals surv.grps predictorGBM 5 5 10 1 5 1
5851 eff.vals surv.grps predictorKendallSVM 5 5 10 1 5 1
5852 fun.vals surv.grps predictorKendallSVM 5 5 10 1 5 1
5853 genes.vals surv.grps predictorKendallSVM 5 5 10 1 5 1
